type,name,address,neighborhood_id
Shopping,Harvey - Bednar,96466 Elenor Circles, Indiana, USA 95593,1
Groceries,Lueilwitz, Smitham and Schneider,50212 Okuneva Harbors, Montana, USA 47213-2634,0
Fitness,O'Reilly LLC,56590 Legros Ferry, Arkansas, USA 76249-8786,1
Fitness,Ziemann, Cummings and Bechtelar,65910 Ramiro Neck, North Dakota, USA 01348,0
Groceries,Erdman - Bailey,6571 Rebecca Highway, Connecticut, USA 45166,1
Nightlife,Mueller LLC,073 Stokes Station, North Dakota, USA 19244,1
Restaurants,Wolff LLC,09730 Jarvis Flat, Montana, USA 30635-0359,0
Cafes,Kunde - Upton,37098 Eunice Underpass, Maryland, USA 79135-8507,1
Shopping,Ritchie and Sons,8248 Reilly Tunnel, Oregon, USA 07521-3196,1
Groceries,Schiller - Reinger,744 Kuhic Ramp, New York, USA 44606-8493,0
